file1	file2	file3	out
B1_SN2_1	B1_SN2_s_high	B1_SN2_2	246_SN2_high
B1_SN2_1	B1_SN2_s_low	B1_SN2_2	246_SN2_low
B1_SN2_1	B1_SN2_s_mid	B1_SN2_2	246_SN2_mid
B1_SN3_1	B1_SN3_s_high	B1_SN3_2	246_SN3_high
B1_SN3_1	B1_SN3_s_low	B1_SN3_2	246_SN3_low
B1_SN3_1	B1_SN3_s_mid	B1_SN3_2	246_SN3_mid
B1_SN4_1	B1_SN4_s_high	B1_SN4_2	246_SN4_high
B1_SN4_1	B1_SN4_s_low	B1_SN4_2	246_SN4_low
B1_SN4_1	B1_SN4_s_mid	B1_SN4_2	246_SN4_mid
B1_SN5_1	B1_SN5_s_high	B1_SN5_2	246_SN5_high
B1_SN5_1	B1_SN5_s_low	B1_SN5_2	246_SN5_low
B1_SN5_1	B1_SN5_s_mid	B1_SN5_2	246_SN5_mid
B1_SN7_1	B1_SN7_s_high	B1_SN7_2	246_SN7_high
B1_SN7_1	B1_SN7_s_low	B1_SN7_2	246_SN7_low
B1_SN7_1	B1_SN7_s_mid	B1_SN7_2	246_SN7_mid
B1_SN9_1	B1_SN9_s_high	B1_SN9_2	246_SN9_high
B1_SN9_1	B1_SN9_s_low	B1_SN9_2	246_SN9_low
B1_SN9_1	B1_SN9_s_mid	B1_SN9_2	246_SN9_mid
B1_SN14_1	B1_SN14_s_high	B1_SN14_2	246_SN14_high
B1_SN14_1	B1_SN14_s_low	B1_SN14_2	246_SN14_low
B1_SN14_1	B1_SN14_s_mid	B1_SN14_2	246_SN14_mid
B1_SN20_1	B1_SN20_s_high	B1_SN20_2	246_SN20_high
B1_SN20_1	B1_SN20_s_low	B1_SN20_2	246_SN20_low
B1_SN20_1	B1_SN20_s_mid	B1_SN20_2	246_SN20_mid
B1_SN21_1	B1_SN21_s_high	B1_SN21_2	246_SN21_high
B1_SN21_1	B1_SN21_s_low	B1_SN21_2	246_SN21_low
B1_SN21_1	B1_SN21_s_mid	B1_SN21_2	246_SN21_mid
B2_SN1_1	B2_SN1_s_high	B2_SN1_2	246_SN1_high
B2_SN1_1	B2_SN1_s_low	B2_SN1_2	246_SN1_low
B2_SN1_1	B2_SN1_s_mid	B2_SN1_2	246_SN1_mid
B2_SN8_1	B2_SN8_s_high	B2_SN8_2	246_SN8_high
B2_SN8_1	B2_SN8_s_low	B2_SN8_2	246_SN8_low
B2_SN8_1	B2_SN8_s_mid	B2_SN8_2	246_SN8_mid
B2_SN10_1	B2_SN10_s_high	B2_SN10_2	246_SN10_high
B2_SN10_1	B2_SN10_s_low	B2_SN10_2	246_SN10_low
B2_SN10_1	B2_SN10_s_mid	B2_SN10_2	246_SN10_mid
B2_SN13_1	B2_SN13_s_high	B2_SN13_2	246_SN13_high
B2_SN13_1	B2_SN13_s_low	B2_SN13_2	246_SN13_low
B2_SN13_1	B2_SN13_s_mid	B2_SN13_2	246_SN13_mid
B2_SN15_1	B2_SN15_s_high	B2_SN15_2	246_SN15_high
B2_SN15_1	B2_SN15_s_low	B2_SN15_2	246_SN15_low
B2_SN15_1	B2_SN15_s_mid	B2_SN15_2	246_SN15_mid
B2_SN16_1	B2_SN16_s_high	B2_SN16_2	246_SN16_high
B2_SN16_1	B2_SN16_s_low	B2_SN16_2	246_SN16_low
B2_SN16_1	B2_SN16_s_mid	B2_SN16_2	246_SN16_mid
B2_SN17_1	B2_SN17_s_high	B2_SN17_2	246_SN17_high
B2_SN17_1	B2_SN17_s_low	B2_SN17_2	246_SN17_low
B2_SN17_1	B2_SN17_s_mid	B2_SN17_2	246_SN17_mid
B2_SN18_1	B2_SN18_s_high	B2_SN18_2	246_SN18_high
B2_SN18_1	B2_SN18_s_low	B2_SN18_2	246_SN18_low
B2_SN18_1	B2_SN18_s_mid	B2_SN18_2	246_SN18_mid
B2_SN19_1	B2_SN19_s_high	B2_SN19_2	246_SN19_high
B2_SN19_1	B2_SN19_s_low	B2_SN19_2	246_SN19_low
B2_SN19_1	B2_SN19_s_mid	B2_SN19_2	246_SN19_mid
