file1	file2	out
B1_SN2_s	B3_SN2_2_s	B1_SN2_s_high
B1_SN3_s	B3_SN3_1_s	B1_SN3_s_high
B1_SN4_s	B6_SN4_2_s_alt	B1_SN4_s_high
B1_SN5_s	B3_SN5_1_s	B1_SN5_s_high
B1_SN7_s	B3_SN7_3_s	B1_SN7_s_high
B1_SN9_s	B2_SN9_1_s	B1_SN9_s_high
B1_SN14_s	B3_SN14_1_s	B1_SN14_s_high
B1_SN20_s	B3_SN20_1_s	B1_SN20_s_high
B1_SN21_s	B3_SN21_1_s	B1_SN21_s_high
B2_SN1_s	B3_SN1_2_s	B2_SN1_s_high
B2_SN8_s	B3_SN8_1_s	B2_SN8_s_high
B2_SN10_s	B3_SN10_1_s	B2_SN10_s_high
B2_SN13_s	B2_SN13_2_s	B2_SN13_s_high
B2_SN15_s	B3_SN15_1_s	B2_SN15_s_high
B2_SN16_s	B3_SN16_2_s	B2_SN16_s_high
B2_SN17_s	B3_SN17_3_s	B2_SN17_s_high
B2_SN18_s	B3_SN18_2_s	B2_SN18_s_high
B2_SN19_s	B3_SN19_1_s	B2_SN19_s_high
B1_SN2_s	B6_SN2_3_s	B1_SN2_s_mid
B1_SN3_s	B4_SN3_2_s	B1_SN3_s_mid
B1_SN4_s	B3_SN4_1_s	B1_SN4_s_mid
B1_SN5_s	B2_SN5_3_s	B1_SN5_s_mid
B1_SN7_s	B6_SN7_1_s	B1_SN7_s_mid
B1_SN9_s	B2_SN9_2_s	B1_SN9_s_mid
B1_SN14_s	B2_SN14_2_s	B1_SN14_s_mid
B1_SN20_s	B2_SN20_3_s	B1_SN20_s_mid
B1_SN21_s	B2_SN21_2_s	B1_SN21_s_mid
B2_SN1_s	B2_SN1_2_s	B2_SN1_s_mid
B2_SN8_s	B2_SN8_2_s	B2_SN8_s_mid
B2_SN10_s	B6_SN10_2_s	B2_SN10_s_mid
B2_SN13_s	B6_SN13_2_s	B2_SN13_s_mid
B2_SN15_s	B2_SN15_3_s	B2_SN15_s_mid
B2_SN16_s	B6_SN16_1_s_alt	B2_SN16_s_mid
B2_SN17_s	B2_SN17_2_s	B2_SN17_s_mid
B2_SN18_s	B6_SN18_2_s	B2_SN18_s_mid
B2_SN19_s	B2_SN19_3_s	B2_SN19_s_mid
B1_SN2_s	B4_SN2_2_s	B1_SN2_s_low
B1_SN3_s	B4_SN3_1_s	B1_SN3_s_low
B1_SN4_s	B4_SN4_2_s	B1_SN4_s_low
B1_SN5_s	B4_SN5_2_s	B1_SN5_s_low
B1_SN7_s	B4_SN7_3_s	B1_SN7_s_low
B1_SN9_s	B6_SN9_3_s_alt	B1_SN9_s_low
B1_SN14_s	B4_SN14_2_s	B1_SN14_s_low
B1_SN20_s	B4_SN20_2_s	B1_SN20_s_low
B1_SN21_s	B4_SN21_3_s	B1_SN21_s_low
B2_SN1_s	B4_SN1_1_s	B2_SN1_s_low
B2_SN8_s	B4_SN8_1_s	B2_SN8_s_low
B2_SN10_s	B4_SN10_1_s	B2_SN10_s_low
B2_SN13_s	B4_SN13_3_s_alt	B2_SN13_s_low
B2_SN15_s	B4_SN15_3_s	B2_SN15_s_low
B2_SN16_s	B4_SN16_1_s	B2_SN16_s_low
B2_SN17_s	B4_SN17_2_s_alt	B2_SN17_s_low
B2_SN18_s	B4_SN18_2_s	B2_SN18_s_low
B2_SN19_s	B4_SN19_3_s	B2_SN19_s_low
