"","item","label","duration","intensity","cog","sdev","skew","kurt"
"1","SN1","B3_SN1_3_s.wav",0.158,50.85352085,8354.370634,2360.482242,-0.1098890611,0.2700375938
"2","SN1","B3_SN1_1_s.wav",0.161,46.43183876,8187.331772,2098.101142,-0.02792334872,-0.1532233048
"3","SN1","B3_SN1_2_s.wav",0.1535416667,51.23927851,7646.157792,2134.633771,0.1003987803,0.007083203117
"4","SN1","B6_SN1_1_s_alt.wav",0.1081875,52.54579526,6836.032119,2253.39672,0.5764555379,-0.6838196778
"5","SN1","B2_SN1_3_s.wav",0.1048958333,51.30757502,6775.26233,1992.840403,0.6133694008,-0.4745955625
"6","SN1","B6_SN1_3_s_alt.wav",0.1059166667,52.55382986,6516.851554,2004.948942,0.799749456,0.09585550849
"7","SN1","B6_SN1_2_s.wav",0.1385625,50.1206034,6403.095743,1671.924336,0.5322009603,-0.2868332904
"8","SN1","B2_SN1_2_s.wav",0.0940625,52.72684388,6309.321527,1760.599207,0.6885559566,0.02060682633
"9","SN1","B6_SN1_1_s.wav",0.1258541667,50.56335808,6248.232189,1652.540221,0.7158389589,0.01413828233
"10","SN1","B6_SN1_2_s_alt.wav",0.1192291667,50.88900581,5899.634646,1824.516012,1.285528853,1.227293465
"11","SN1","B2_SN1_1_s.wav",0.09947916667,53.67889409,5697.322432,1421.788578,1.22511694,1.72872517
"12","SN1","B6_SN1_3_s.wav",0.1349166667,50.43319313,5581.989636,1246.007878,1.480104571,3.761778831
"13","SN1","B4_SN1_1_s.wav",0.1455833333,53.93832461,5449.073765,1940.179195,1.160724121,0.6263916256
"14","SN1","B4_SN1_3_s.wav",0.1291041667,54.18812801,4970.435168,1616.293097,1.154743741,1.28432504
"15","SN1","B4_SN1_2_s.wav",0.1165,54.48939446,4841.162943,1483.32826,1.758762998,3.57181751
"16","SN10","B3_SN10_2_s.wav",0.1522916667,47.48789677,7743.965672,2631.758719,0.004328306589,-0.03580856197
"17","SN10","B3_SN10_3_s.wav",0.1510416667,48.04831298,7655.18249,2445.080141,0.3768277512,0.02937802367
"18","SN10","B3_SN10_1_s.wav",0.1425,48.77384067,7058.190042,2844.806538,-0.02663713276,-0.7674721272
"19","SN10","B6_SN10_1_s_alt_1.wav",0.11325,50.06494066,7022.014359,1877.764218,0.5244292065,-0.4871185027
"20","SN10","B6_SN10_1_s.wav",0.1228333333,48.47896287,6733.568725,1746.532696,0.6260226432,-0.05654768358
"21","SN10","B2_SN10_1_s.wav",0.1131666667,49.30217578,6728.065785,1590.547541,0.7980391817,3.183523389
"22","SN10","B6_SN10_3_s_alt.wav",0.1040416667,52.1129819,6676.787656,1474.068737,-0.06687783595,0.2938324745
"23","SN10","B6_SN10_2_s.wav",0.1274375,53.042554,6628.23539,1742.668988,0.6783510755,0.1166034061
